session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,7.645000,10,left,4.060673,-1.627404,-0.205361,0.068936,simp
dgap_26-05-05_10-40-58,0,7.645000,11,right,4.592210,-0.169472,-0.275664,0.113434,simp
dgap_26-05-05_10-40-58,0,7.680000,10,left,4.010376,-1.550293,-0.234419,0.080728,simp
dgap_26-05-05_10-40-58,0,7.680000,11,right,4.593768,-0.112991,-0.270291,0.106069,simp
dgap_26-05-05_10-40-58,0,7.725000,10,left,4.017768,-1.553151,-0.260118,0.080011,simp
dgap_26-05-05_10-40-58,0,7.725000,11,right,4.588494,-0.056422,-0.264172,0.098819,simp
dgap_26-05-05_10-40-58,0,7.765000,10,left,3.955140,-1.473303,-0.295657,0.083780,simp
dgap_26-05-05_10-40-58,0,7.765000,11,right,4.587756,0.000000,-0.256534,0.091683,simp
dgap_26-05-05_10-40-58,0,7.805000,10,left,3.908721,-1.401528,-0.336447,0.089790,simp
dgap_26-05-05_10-40-58,0,7.805000,11,right,4.585806,0.056389,-0.247648,0.084687,simp
dgap_26-05-05_10-40-58,0,7.845000,10,left,3.874319,-1.335663,-0.379256,0.096491,simp
dgap_26-05-05_10-40-58,0,7.845000,11,right,4.582534,0.112715,-0.237877,0.077832,simp
dgap_26-05-05_10-40-58,0,7.885000,10,left,3.849665,-1.274424,-0.420741,0.102923,simp
dgap_26-05-05_10-40-58,0,7.885000,11,right,4.579848,0.169016,-0.226324,0.071246,simp
dgap_26-05-05_10-40-58,0,7.930000,10,left,3.833674,-1.217036,-0.460460,0.108792,simp
dgap_26-05-05_10-40-58,0,7.930000,11,right,4.580193,0.225451,-0.214173,0.065411,simp
dgap_26-05-05_10-40-58,0,7.960000,10,left,3.826939,-1.163298,-0.495559,0.113748,simp
dgap_26-05-05_10-40-58,0,7.960000,11,right,4.584365,0.282199,-0.199953,0.060658,simp
dgap_26-05-05_10-40-58,0,8.000000,10,left,3.829693,-1.112884,-0.524359,0.117518,simp
dgap_26-05-05_10-40-58,0,8.000000,11,right,4.597416,0.339792,-0.182263,0.057325,simp
dgap_26-05-05_10-40-58,0,8.045000,10,left,3.897538,-1.132599,-0.534972,0.107289,simp
dgap_26-05-05_10-40-58,0,8.045000,11,right,4.508929,0.333252,-0.180638,0.043459,simp
dgap_26-05-05_10-40-58,0,8.080000,10,left,3.884429,-1.077176,-0.544417,0.099259,simp
dgap_26-05-05_10-40-58,0,8.080000,11,right,4.492752,0.387654,-0.179397,0.031892,simp
dgap_26-05-05_10-40-58,0,8.125000,10,left,3.879107,-1.024507,-0.551183,0.092848,simp
dgap_26-05-05_10-40-58,0,8.125000,11,right,4.467237,0.440851,-0.180184,0.022359,simp
dgap_26-05-05_10-40-58,0,8.165000,10,left,3.876439,-0.972976,-0.554940,0.087832,simp
dgap_26-05-05_10-40-58,0,8.165000,11,right,4.431428,0.492406,-0.184627,0.014487,simp
dgap_26-05-05_10-40-58,0,8.205000,10,left,3.875192,-0.922166,-0.555640,0.084070,simp
dgap_26-05-05_10-40-58,0,8.205000,11,right,4.384766,0.541878,-0.194214,0.007824,simp
dgap_26-05-05_10-40-58,0,8.245000,10,left,3.874886,-0.871894,-0.553376,0.081437,simp
dgap_26-05-05_10-40-58,0,8.245000,11,right,4.326898,0.588827,-0.210298,0.001840,simp
dgap_26-05-05_10-40-58,0,8.285000,10,left,3.940959,-0.886762,-0.535949,0.067671,simp
dgap_26-05-05_10-40-58,0,8.285000,11,right,4.322311,0.696850,-0.221889,0.008004,simp
dgap_26-05-05_10-40-58,0,8.325000,10,left,3.918909,-0.831311,-0.521665,0.057593,simp
dgap_26-05-05_10-40-58,0,8.325000,11,right,4.303518,0.748222,-0.232126,0.014271,simp
dgap_26-05-05_10-40-58,0,8.360000,10,left,3.909620,-0.779234,-0.507818,0.050217,simp
dgap_26-05-05_10-40-58,0,8.360000,11,right,4.211451,0.785681,-0.254795,0.018030,simp
dgap_26-05-05_10-40-58,0,8.405000,10,left,3.903846,-0.728294,-0.493710,0.045086,simp
dgap_26-05-05_10-40-58,0,8.405000,11,right,4.159779,0.829093,-0.280513,0.020597,simp
dgap_26-05-05_10-40-58,0,8.445000,10,left,3.899928,-0.678052,-0.479083,0.041854,simp
dgap_26-05-05_10-40-58,0,8.445000,11,right,4.128015,0.875668,-0.304896,0.022691,simp
